,Condominio,Aluguel,IPTU,Seguro Incendio,Total,Cidade,Area
1440,R$0,"R$8,000",R$417,R$121,"R$8,538",1,235
1441,"R$1,200","R$3,300",R$250,R$42,"R$4,792",1,136
1442,R$602,"R$1,800",R$130,R$23,"R$2,555",1,20
1443,R$270,"R$1,240",R$0,R$16,"R$1,526",1,36
1444,"R$3,900","R$13,000","R$1,417",R$165,"R$18,480",1,210
1445,R$350,"R$1,880",R$0,R$24,"R$2,254",1,60
1446,R$0,"R$6,000",R$420,R$91,"R$6,511",1,325
1447,R$274,"R$1,061",R$7,R$14,"R$1,356",0,43
1448,Incluso,"R$2,300",R$98,R$35,"R$2,433",0,170
1449,R$504,R$842,R$0,R$3,"R$1,349",0,55
1450,"R$1,687","R$5,800",R$365,R$74,"R$7,926",1,200
1451,R$0,"R$2,500",R$59,R$38,"R$2,597",1,150
1452,R$0,"R$1,650",R$167,R$25,"R$1,842",1,140
1453,"R$2,000","R$4,500",R$84,R$58,"R$6,642",1,160
1454,R$1,"R$2,800",R$292,R$43,"R$3,136",1,300
1455,"R$2,800","R$15,000","R$1,667",R$191,"R$19,660",1,408
1456,R$970,"R$2,100",R$180,R$27,"R$3,277",1,99
1457,"R$1,000","R$10,000",R$180,R$127,"R$11,310",1,180
1458,R$0,"R$8,000",R$526,R$121,"R$8,647",1,230
1459,"R$2,100","R$9,100",R$667,R$116,"R$11,980",1,210
1460,R$1,"R$9,800",R$584,R$148,"R$10,530",1,440
1461,R$780,"R$1,150",R$142,R$15,"R$2,087",1,55
1462,"R$1,700","R$1,500",R$184,R$20,"R$3,404",0,70
1463,R$0,"R$14,000","R$1,290",R$211,"R$15,500",1,370
1464,"R$1,325","R$4,500",R$347,R$58,"R$6,230",1,157
1465,"R$1,950","R$5,000",R$542,R$64,"R$7,556",1,176
1466,R$500,R$850,R$50,R$11,"R$1,411",0,78
1467,R$411,"R$1,080",R$35,R$14,"R$1,540",1,35
1468,R$650,"R$1,200",R$29,R$16,"R$1,895",0,52
1469,"R$2,800","R$4,200",R$792,R$54,"R$7,846",1,240
1470,R$859,"R$4,000",R$261,R$16,"R$5,136",1,84
1471,R$0,"R$2,800",R$38,R$43,"R$2,881",1,125
1472,R$542,"R$1,935",R$78,R$9,"R$2,564",0,78
1473,R$385,"R$3,500",R$64,R$45,"R$3,994",0,58
1474,R$800,"R$1,915",R$0,R$7,"R$2,722",1,113
1475,"R$1,700","R$4,420",R$188,R$57,"R$6,365",1,52
1476,R$376,"R$1,450",R$67,R$19,"R$1,912",1,28
1477,R$350,"R$1,940",R$3,R$25,"R$2,318",1,54
1478,"R$4,500","R$12,850","R$1,834",R$163,"R$19,350",1,270
1479,"R$3,500","R$8,900","R$1,466",R$113,"R$13,980",1,220
1480,"R$1,800","R$9,000",R$352,R$115,"R$11,270",1,118
1481,"R$1,022","R$3,112",R$0,R$13,"R$4,147",1,92
1482,R$716,"R$3,356",R$217,R$13,"R$4,302",1,62
1483,"R$4,000","R$5,100",R$975,R$65,"R$10,140",1,250
1484,R$0,"R$10,400",R$667,R$157,"R$11,220",0,750
1485,R$0,"R$4,000",R$459,R$61,"R$4,520",1,177
1486,"R$2,000","R$7,600",R$238,R$97,"R$9,935",1,138
1487,"R$1,091","R$5,000",R$292,R$64,"R$6,447",1,140
1488,R$0,"R$9,000","R$1,150",R$136,"R$10,290",1,450
1489,"R$2,334","R$1,670",R$555,R$22,"R$4,581",1,167
1490,"R$1,600","R$2,900",R$180,R$37,"R$4,717",1,30
1491,R$0,"R$2,250",R$0,R$34,"R$2,284",1,120
1492,R$485,R$800,R$60,R$11,"R$1,356",0,60
1493,R$0,"R$3,294",R$276,R$50,"R$3,620",1,210
1494,"R$1,730","R$6,200",R$0,R$79,"R$8,009",1,49
1495,R$930,"R$2,950",R$110,R$38,"R$4,028",1,75
1496,"R$1,450","R$5,300",R$0,R$68,"R$6,818",1,109
1497,R$670,"R$1,400",R$0,R$18,"R$2,088",1,57
1498,R$0,"R$3,500",R$42,R$53,"R$3,595",1,100
1499,"R$2,847","R$3,290",R$590,R$42,"R$6,769",1,70
1500,R$0,"R$6,500","R$1,360",R$98,"R$7,958",1,250
1501,"R$1,150","R$3,000",R$459,R$39,"R$4,648",1,103
1502,"R$3,160","R$5,000",R$384,R$64,"R$8,608",1,90
1503,"R$2,100","R$2,770",R$366,R$36,"R$5,272",0,273
1504,R$583,"R$1,650",R$57,R$21,"R$2,311",1,37
1505,R$459,"R$1,850",R$0,R$24,"R$2,333",1,61
1506,R$773,"R$1,900",R$152,R$29,"R$2,854",1,64
1507,"R$2,250","R$6,800",R$84,R$87,"R$9,221",1,220
1508,R$553,"R$2,530",R$0,R$22,"R$3,105",1,58
1509,"R$1,100","R$12,000",R$667,R$153,"R$13,920",1,145
1510,R$500,"R$15,000","R$1,172",R$226,"R$16,900",1,380
1511,R$750,"R$2,200",R$84,R$28,"R$3,062",1,93
1512,R$323,"R$2,150",R$85,R$28,"R$2,586",1,36
1513,"R$1,250","R$7,250",R$390,R$92,"R$8,982",1,78
1514,R$140,"R$1,250",R$15,R$16,"R$1,421",1,38
1515,R$632,"R$2,200",R$119,R$28,"R$2,979",0,101
1516,R$0,"R$7,200",R$350,R$109,"R$7,659",1,400
1517,"R$1,261","R$1,450",R$166,R$19,"R$2,896",1,65
1518,"R$4,325","R$5,300","R$1,521",R$68,"R$11,210",1,248
1519,"R$7,552","R$3,000","R$4,830",R$39,"R$15,420",1,360
1520,R$500,"R$1,500",R$0,R$20,"R$2,020",1,47
1521,"R$2,500","R$4,600",R$467,R$59,"R$7,626",1,56
1522,"R$2,150","R$6,300",R$459,R$80,"R$8,989",1,190
1523,R$650,"R$1,350",R$84,R$18,"R$2,102",1,69
1524,"R$3,650","R$7,200",R$626,R$92,"R$11,570",1,235
1525,R$681,"R$5,112",R$0,R$17,"R$5,810",1,120
1526,R$300,"R$1,200",R$157,R$16,"R$1,673",1,70
1527,"R$3,338","R$8,440","R$1,223",R$60,"R$13,060",1,196
1528,R$965,"R$3,800",R$150,R$49,"R$4,964",1,89
1529,R$330,"R$1,500",R$79,R$20,"R$1,929",1,33
1530,"R$2,304","R$9,000",R$532,R$115,"R$11,950",1,68
1531,R$900,"R$2,100",R$100,R$27,"R$3,127",0,110
1532,R$470,"R$3,990",R$90,R$51,"R$4,601",1,40
1533,R$0,"R$14,000",R$667,R$211,"R$14,880",0,999
1534,R$250,"R$1,305",R$0,R$17,"R$1,572",1,33
1535,"R$2,400","R$4,500","R$1,334",R$58,"R$8,292",1,200
1536,R$924,"R$2,827",R$291,R$36,"R$4,078",1,82
1537,"R$2,800","R$3,000",R$292,R$39,"R$6,131",1,240
1538,R$540,R$900,R$66,R$12,"R$1,518",0,58
1539,"R$1,000","R$4,500",R$250,R$58,"R$5,808",1,80
1540,R$0,"R$5,000",R$250,R$76,"R$5,326",1,300
1541,R$0,"R$15,000","R$1,750",R$226,"R$16,980",1,400
1542,"R$1,450","R$10,000",R$467,R$127,"R$12,040",1,161
1543,"R$3,722","R$13,900","R$2,588",R$177,"R$20,390",1,365
1544,"R$1,500","R$7,300",R$400,R$93,"R$9,293",1,120
1545,"R$1,100","R$4,200",R$210,R$54,"R$5,564",0,104
1546,R$0,"R$6,500",R$567,R$98,"R$7,165",1,180
1547,R$925,"R$4,300",R$90,R$55,"R$5,370",1,48
1548,"R$1,500","R$9,800",R$545,R$125,"R$11,970",1,138
1549,R$1,"R$7,300",R$600,R$110,"R$8,011",1,350
1550,"R$2,964","R$15,000",R$667,R$191,"R$18,820",1,255
1551,R$800,"R$4,150",R$375,R$53,"R$5,378",1,98
1552,"R$1,300","R$3,800",R$280,R$49,"R$5,429",0,136
1553,R$1,"R$4,500",R$0,R$68,"R$4,569",1,190
1554,R$760,"R$1,850",R$70,R$24,"R$2,704",1,60
1555,"R$4,600","R$8,700","R$2,300",R$142,"R$15,740",1,320
1556,R$0,"R$1,100",R$0,R$17,"R$1,117",1,40
1557,R$0,"R$1,600",R$100,R$25,"R$1,725",1,100
1558,R$0,"R$2,600",R$480,R$40,"R$3,120",1,90
1559,R$299,"R$2,023",R$60,R$26,"R$2,408",1,100
1560,"R$1,535","R$7,000",R$350,R$89,"R$8,974",1,135
1561,R$120,"R$2,000",R$0,R$31,"R$2,151",1,100
1562,R$0,"R$3,655",R$159,R$47,"R$3,861",1,65
1563,"R$5,200","R$6,400","R$2,792",R$82,"R$14,470",1,387
1564,"R$2,585","R$5,150",R$575,R$66,"R$8,376",1,235
1565,R$250,"R$1,500",R$35,R$20,"R$1,805",0,50
1566,R$547,"R$3,000",R$203,R$39,"R$3,789",1,77
1567,"R$1,350","R$2,950",R$297,R$38,"R$4,635",1,120
1568,"R$1,196","R$2,004",R$0,R$26,"R$3,226",0,70
1569,R$210,"R$1,271",R$0,R$5,"R$1,486",1,40
1570,R$0,"R$6,200",R$334,R$94,"R$6,628",0,295
1571,R$0,"R$10,000","R$1,000",R$151,"R$11,150",1,320
1572,"R$1,095","R$2,900",R$234,R$37,"R$4,266",1,100
1573,"R$2,500","R$5,500",R$700,R$70,"R$8,770",1,153
1574,"R$1,165","R$3,566",R$363,R$11,"R$5,105",1,85
1575,Sem info,"R$11,500",R$875,R$173,"R$12,550",1,450
1576,R$150,R$810,R$0,R$11,R$971,1,50
1577,"R$1,000","R$3,000",R$50,R$39,"R$4,089",1,90
1578,R$300,R$600,R$4,R$8,R$912,0,32
1579,R$0,"R$2,800",R$203,R$43,"R$3,046",1,150
1580,R$750,"R$3,400",R$188,R$44,"R$4,382",1,86
1581,"R$3,800","R$11,000","R$1,100",R$140,"R$16,040",1,230
1582,"R$3,300","R$13,000","R$1,417",R$165,"R$17,880",1,420
1583,R$660,"R$2,900",R$26,R$37,"R$3,623",1,79
1584,R$0,"R$10,000",R$912,R$151,"R$11,060",1,400
1585,R$800,"R$2,000",R$217,R$26,"R$3,043",1,65
1586,R$446,"R$2,096",R$124,R$27,"R$2,693",0,73
1587,"R$3,000","R$5,520",R$0,R$70,"R$8,590",1,45
1588,R$1,"R$15,000","R$2,051",R$226,"R$17,280",1,800
1589,R$470,"R$1,800",R$0,R$23,"R$2,293",1,60
1590,"R$1,500","R$9,800",R$417,R$125,"R$11,840",1,137
1591,R$886,"R$3,700",R$96,R$47,"R$4,729",1,100
1592,R$900,"R$4,100",R$100,R$62,"R$5,162",1,100
1593,R$756,"R$1,450",R$20,R$19,"R$2,245",0,90
1594,"R$1,860","R$2,150",R$284,R$28,"R$4,322",0,166
1595,"R$2,066","R$5,500",R$518,R$70,"R$8,154",1,180
1596,R$0,"R$3,200",R$0,R$49,"R$3,249",1,300
1597,R$0,"R$2,050",R$250,R$31,"R$2,331",1,150
1598,R$646,"R$3,900",R$109,R$50,"R$4,705",1,60
1599,"R$1,022","R$1,200",R$134,R$16,"R$2,372",0,42
1600,R$400,R$700,R$0,R$9,"R$1,109",0,46
1601,R$603,"R$4,320",R$181,R$55,"R$5,159",1,40
1602,R$640,R$700,R$36,R$9,"R$1,385",0,55
1603,R$782,"R$4,800",R$174,R$61,"R$5,817",1,83
1604,"R$3,200","R$4,000",R$967,R$51,"R$8,218",1,220
1605,"R$3,800","R$5,950","R$1,209",R$76,"R$11,040",1,190
1606,R$578,"R$2,050",R$61,R$29,"R$2,718",1,65
1607,"R$1,350","R$5,435",R$405,R$69,"R$7,259",1,186
1608,R$0,"R$1,200",R$1,R$19,"R$1,220",1,80
1609,R$0,"R$9,000",R$0,R$115,"R$9,115",1,175
1610,R$0,"R$1,690",R$0,R$26,"R$1,716",1,95
1611,R$460,"R$3,150",R$0,R$40,"R$3,650",1,86
1612,R$0,"R$10,000",R$767,R$151,"R$10,920",1,300
1613,"R$1,134","R$6,500",R$609,R$83,"R$8,326",1,108
1614,R$521,R$600,R$38,R$8,"R$1,167",0,45
1615,R$315,"R$1,519",R$30,R$20,"R$1,884",1,37
1616,R$540,"R$3,237",R$350,R$42,"R$4,169",1,30
1617,"R$3,350","R$10,000","R$1,480",R$127,"R$14,960",1,246
1618,"R$2,750","R$14,000","R$1,334",R$178,"R$18,260",1,234
1619,"R$1,072","R$5,000",R$196,R$64,"R$6,332",1,73
1620,"R$1,750","R$2,975",R$359,R$38,"R$5,122",1,113
1621,R$560,"R$3,200","R$1,056",R$49,"R$4,865",0,110
1622,R$0,"R$15,000","R$1,334",R$226,"R$16,560",1,400
1623,Incluso,"R$1,430",R$0,R$19,"R$1,449",1,29
1624,R$0,"R$2,700",R$56,R$41,"R$2,797",1,140
1625,R$615,"R$2,800",R$42,R$36,"R$3,493",1,28
1626,R$0,"R$7,000",R$737,R$106,"R$7,843",1,200
1627,R$359,"R$1,850",R$0,R$24,"R$2,233",1,20
1628,"R$1,350","R$5,870",R$108,R$75,"R$7,403",1,88
1629,R$400,"R$1,500",R$59,R$20,"R$1,979",1,40
1630,"R$1,700","R$5,000",R$484,R$64,"R$7,248",1,150
1631,R$500,"R$3,500",R$193,R$53,"R$4,246",1,187
1632,R$513,"R$2,700",R$84,R$35,"R$3,332",1,51
1633,R$684,"R$5,050",R$227,R$64,"R$6,025",1,62
1634,R$0,"R$9,670",R$55,R$146,"R$9,871",1,150
1635,"R$1,137","R$6,698",R$166,R$85,"R$8,086",1,48
1636,R$0,R$830,R$0,R$13,R$843,0,60
1637,"R$1,132","R$2,600",R$0,R$33,"R$3,765",1,53
1638,"R$1,100","R$6,600",R$424,R$84,"R$8,208",1,74
1639,R$170,"R$1,680",R$68,R$22,"R$1,940",1,53
1640,Incluso,"R$4,000",R$362,R$61,"R$4,423",0,300
1641,Incluso,"R$12,500",R$0,R$159,"R$12,660",1,180
1642,R$450,"R$1,650",R$0,R$13,"R$2,113",1,53
1643,R$0,"R$5,200",R$375,R$79,"R$5,654",0,296
1644,"R$1,644","R$4,800",R$500,R$61,"R$7,005",1,145
1645,"R$1,900","R$4,080",R$417,R$52,"R$6,449",1,230
1646,"R$4,900","R$11,050","R$3,700",R$141,"R$19,790",1,420
1647,R$200,"R$1,610",R$25,R$21,"R$1,856",1,34
1648,Incluso,"R$3,700",Incluso,R$47,"R$3,747",1,27
1649,R$300,"R$2,200",R$50,R$28,"R$2,578",1,17
1650,"R$2,530","R$4,000",R$342,R$51,"R$6,923",1,64
1651,R$0,"R$15,000","R$2,334",R$226,"R$17,560",1,645
1652,R$600,"R$1,339",R$0,R$16,"R$1,955",1,68
1653,"R$4,240","R$6,000",R$584,R$77,"R$10,900",1,68
1654,"R$1,680","R$2,125",R$375,R$27,"R$4,207",1,134
1655,R$250,"R$1,700",R$0,R$22,"R$1,972",1,43
1656,"R$2,300","R$7,000",R$245,R$89,"R$9,634",1,48
1657,R$0,"R$8,000",R$425,R$121,"R$8,546",1,220
1658,R$0,"R$15,000","R$2,100",R$191,"R$17,290",1,600
1659,"R$3,400","R$1,040","R$1,250",R$14,"R$5,704",1,260
1660,"R$3,500","R$5,000","R$1,334",R$64,"R$9,898",1,250
1661,R$990,"R$1,680",R$0,R$22,"R$2,692",1,126
1662,R$645,"R$1,400",R$92,R$18,"R$2,155",1,62
1663,R$300,"R$1,300",R$0,R$17,"R$1,617",1,68
1664,"R$1,808","R$2,700","R$1,067",R$35,"R$5,610",1,195
1665,R$480,"R$4,500",R$140,R$58,"R$5,178",1,57
1666,R$0,"R$7,000","R$2,059",R$106,"R$9,165",1,556
1667,R$576,"R$2,400",R$162,R$31,"R$3,169",1,70
1668,"R$1,250","R$1,900",R$552,R$25,"R$3,727",1,105
1669,"R$1,150","R$3,400",R$209,R$44,"R$4,803",0,200
1670,"R$3,580","R$7,000",R$0,R$89,"R$10,670",1,290
1671,R$867,"R$3,910",R$0,R$15,"R$4,792",1,90
1672,"R$1,356","R$13,000",R$384,R$165,"R$14,910",1,94
1673,"R$1,550","R$2,318",R$411,R$30,"R$4,309",1,130
1674,R$0,"R$1,100",R$195,R$17,"R$1,312",1,40
1675,R$0,"R$3,900",R$625,R$59,"R$4,584",1,110
1676,R$255,"R$1,764",R$0,R$23,"R$2,042",1,28
1677,"R$3,000","R$10,000","R$1,200",R$127,"R$14,330",1,240
1678,"R$1,000","R$3,300",R$417,R$42,"R$4,759",1,100
1679,R$0,"R$2,060",R$0,R$27,"R$2,087",1,20
1680,"R$2,800","R$9,000","R$1,667",R$115,"R$13,580",1,300
1681,R$0,R$850,R$30,R$11,R$891,1,16
1682,R$0,"R$1,720",R$0,R$26,"R$1,746",1,90
1683,"R$1,171","R$1,997",R$280,R$26,"R$3,474",1,90
1684,R$120,"R$1,450",R$43,R$19,"R$1,632",1,39
1685,R$0,"R$9,500",R$787,R$143,"R$10,430",0,578
1686,R$0,"R$3,000",R$163,R$46,"R$3,209",1,180
1687,"R$2,200","R$4,000",R$803,R$51,"R$7,054",1,209
1688,"R$2,377","R$9,500",R$828,R$121,"R$12,830",1,170
1689,"R$2,050","R$9,800",R$998,R$125,"R$12,970",1,250
1690,"R$2,500","R$2,250","R$1,350",R$29,"R$6,129",1,262
1691,R$0,"R$1,955",R$30,R$30,"R$2,015",1,100
1692,R$0,"R$2,900",R$791,R$44,"R$3,735",1,200
1693,R$550,"R$3,000",R$0,R$39,"R$3,589",1,70
1694,"R$5,000","R$8,900","R$1,679",R$113,"R$15,690",1,244
1695,"R$3,500","R$7,000","R$1,684",R$89,"R$12,270",1,270
1696,Sem info,"R$1,030",R$60,R$16,"R$1,106",1,45
1697,R$340,"R$2,400",R$59,R$31,"R$2,830",1,20
1698,R$720,"R$3,750",R$25,R$48,"R$4,543",1,70
1699,R$0,"R$1,800",R$321,R$28,"R$2,149",0,130
1700,R$580,"R$1,700",R$122,R$22,"R$2,424",0,104
1701,"R$1,000","R$2,500",R$0,R$32,"R$3,532",1,65
1702,"R$1,367","R$6,500",R$579,R$83,"R$8,529",1,235
1703,"R$2,700","R$9,180",R$0,R$117,"R$12,000",1,200
1704,R$0,"R$2,175",R$0,R$12,"R$2,187",1,150
1705,R$314,"R$1,000",R$0,R$13,"R$1,327",0,60
1706,"R$1,650","R$8,000",R$267,R$102,"R$10,020",1,82
1707,"R$3,200","R$15,000",R$917,R$191,"R$19,310",1,380
1708,"R$2,300","R$8,000","R$2,180",R$102,"R$12,580",1,380
1709,R$665,"R$2,200",R$117,R$28,"R$3,010",1,54
1710,R$580,"R$3,500",R$60,R$45,"R$4,185",1,67
1711,R$0,"R$6,000","R$2,000",R$91,"R$8,091",1,330
1712,"R$1,523","R$3,175",R$711,R$41,"R$5,450",1,117
1713,R$0,"R$2,650",R$220,R$40,"R$2,910",0,200
1714,"R$3,500","R$5,000",R$667,R$64,"R$9,231",1,305
1715,R$757,"R$2,495",R$166,R$11,"R$3,429",1,53
1716,R$0,"R$1,750",R$109,R$27,"R$1,886",0,170
1717,R$500,"R$1,800",R$0,R$23,"R$2,323",1,50
1718,"R$3,000","R$15,000",R$100,R$191,"R$18,290",1,250
1719,"R$1,229","R$3,700",R$198,R$47,"R$5,174",1,164
1720,Incluso,"R$2,500",R$219,R$38,"R$2,757",1,90
1721,"R$1,035","R$1,900",R$30,R$25,"R$2,990",0,115
1722,"R$2,914","R$7,400",R$586,R$94,"R$10,990",1,206
1723,R$380,"R$1,900",R$0,R$25,"R$2,305",1,50
1724,R$263,"R$1,000",R$38,R$13,"R$1,314",0,49
1725,R$330,"R$1,210",R$21,R$16,"R$1,577",1,30
1726,R$0,"R$5,600",Incluso,R$85,"R$5,685",1,130
1727,R$0,"R$8,540","R$1,329",R$129,"R$9,998",1,360
1728,R$670,"R$1,932",R$73,R$8,"R$2,683",1,54
1729,R$0,"R$3,300",R$259,R$50,"R$3,609",0,252
1730,R$0,"R$1,400",R$10,R$22,"R$1,432",0,130
1731,"R$1,200","R$8,700",R$458,R$131,"R$10,490",0,400
1732,R$50,R$895,R$41,R$12,R$998,1,27
1733,R$589,"R$2,349",R$0,R$8,"R$2,946",1,45
1734,"R$2,570","R$4,400",R$584,R$56,"R$7,610",1,260
1735,R$450,"R$3,200",R$40,R$41,"R$3,731",1,74
1736,R$754,"R$2,040",R$25,R$26,"R$2,845",1,59
1737,R$455,"R$2,500",R$23,R$32,"R$3,010",1,51
1738,"R$2,200","R$4,080","R$2,704",R$52,"R$9,036",1,346
1739,Sem info,"R$1,200",R$0,R$19,"R$1,219",1,30
1740,R$710,"R$1,397",R$3,R$18,"R$2,128",1,58
1741,R$459,"R$1,850",R$49,R$24,"R$2,382",0,65
1742,"R$1,276","R$6,500",R$517,R$83,"R$8,376",1,110
1743,R$0,"R$9,000","R$1,875",R$136,"R$11,010",1,600
1744,R$1,"R$1,950",R$0,R$25,"R$1,976",1,35
1745,R$510,"R$1,880",R$30,R$24,"R$2,444",1,65
1746,R$550,"R$1,600",R$125,R$21,"R$2,296",1,83
1747,R$800,"R$2,000",R$250,R$26,"R$3,076",1,100
1748,"R$1,000","R$3,000",R$50,R$39,"R$4,089",1,90
1749,"R$2,400","R$3,500",R$1,R$45,"R$5,946",1,65
1750,"R$1,650","R$2,300",R$775,R$30,"R$4,755",1,135
1751,R$0,"R$1,800",R$0,R$28,"R$1,828",1,90
1752,R$650,"R$1,500",R$5,R$20,"R$2,175",1,58
1753,R$300,"R$2,200",R$15,R$28,"R$2,543",1,34
1754,R$0,"R$12,000","R$1,250",R$181,"R$13,430",1,350
1755,"R$2,200","R$4,500",R$334,R$58,"R$7,092",1,45
1756,R$870,"R$2,500",R$160,R$32,"R$3,562",1,120
1757,R$417,R$850,R$140,R$11,"R$1,418",0,45
1758,R$0,R$900,R$10,R$12,R$922,1,26
1759,R$435,"R$3,000",R$5,R$22,"R$3,462",1,137
1760,R$0,"R$2,000",R$1,R$31,"R$2,032",1,200
1761,R$602,"R$1,800",R$130,R$23,"R$2,555",1,20
1762,"R$1,532","R$2,550",R$417,R$33,"R$4,532",1,163
1763,R$597,"R$2,088",R$0,R$7,"R$2,692",1,32
1764,R$695,"R$1,700",R$170,R$22,"R$2,587",1,45
1765,"R$1,500","R$4,250",R$0,R$54,"R$5,804",1,147
1766,R$0,"R$3,000",R$334,R$46,"R$3,380",1,260
1767,R$600,"R$3,400",R$80,R$44,"R$4,124",1,36
1768,R$602,"R$1,800",R$130,R$23,"R$2,555",1,20
1769,R$0,"R$8,389",R$0,R$107,"R$8,496",1,112
1770,R$450,"R$1,300",R$40,R$17,"R$1,807",1,35
1771,R$0,"R$2,590",R$310,R$39,"R$2,939",1,280
1772,R$0,"R$4,600",R$410,R$70,"R$5,080",1,137
1773,"R$1,015","R$3,070",R$0,R$39,"R$4,124",1,120
1774,R$400,"R$1,600",R$25,R$21,"R$2,046",1,62
1775,R$0,"R$1,980",R$0,R$30,"R$2,010",1,70
1776,R$650,"R$2,400",R$117,R$31,"R$3,198",1,78
1777,R$600,"R$4,200",R$125,R$54,"R$4,979",1,39
1778,R$740,"R$1,350",R$78,R$18,"R$2,186",0,90
1779,R$825,"R$2,560",R$170,R$33,"R$3,588",1,121
1780,"R$1,058","R$2,500",R$275,R$32,"R$3,865",1,97
1781,R$0,"R$3,500",R$448,R$53,"R$4,001",1,130
1782,R$250,"R$1,250",R$0,R$16,"R$1,516",0,46
1783,"R$1,166","R$5,500",R$325,R$70,"R$7,061",1,93
1784,R$280,"R$1,000",R$138,R$13,"R$1,431",1,70
1785,R$0,"R$1,900",R$84,R$29,"R$2,013",1,100
1786,R$763,"R$2,603",R$101,R$16,"R$3,483",1,64
1787,R$747,"R$1,500",R$0,R$20,"R$2,267",1,84
1788,"R$1,400","R$9,000",R$0,R$115,"R$10,520",1,146
1789,"R$1,000","R$5,500",R$25,R$70,"R$6,595",1,110
1790,"R$1,000","R$4,000",R$109,R$51,"R$5,160",1,80
1791,"R$5,000","R$15,000","R$1,500",R$191,"R$21,690",1,280
1792,"R$2,650","R$5,500",R$667,R$70,"R$8,887",1,180
1793,R$150,"R$3,142",R$67,R$40,"R$3,399",1,20
1794,"R$1,000","R$2,500",R$0,R$32,"R$3,532",1,70
1795,"R$1,484","R$4,130",R$250,R$53,"R$5,917",1,54
1796,"R$5,706","R$15,000","R$2,260",R$191,"R$23,160",1,469
1797,"R$2,800","R$7,000",R$0,R$89,"R$9,889",0,240
1798,"R$2,200","R$6,900",R$450,R$88,"R$9,638",1,141
1799,R$0,"R$1,600",R$0,R$21,"R$1,621",1,70
1800,R$920,"R$5,800",R$200,R$74,"R$6,994",1,58
1801,"R$1,700","R$3,599",R$490,R$46,"R$5,835",1,160
1802,R$0,"R$6,000",R$350,R$91,"R$6,441",0,348
1803,"R$1,064","R$1,200",R$0,R$16,"R$2,280",1,68
1804,R$347,"R$3,500",R$0,R$45,"R$3,892",0,58
1805,"R$2,082","R$2,180",R$606,R$28,"R$4,896",1,138
1806,R$696,"R$2,200",R$148,R$28,"R$3,072",1,55
1807,Incluso,"R$2,300",R$98,R$35,"R$2,433",0,170
1808,"R$3,000","R$20,000",R$84,R$254,"R$23,340",1,400
1809,R$0,"R$4,000",R$178,R$61,"R$4,239",0,188
1810,R$1,"R$8,200",R$625,R$124,"R$8,950",1,240
1811,R$392,"R$2,100",R$41,R$27,"R$2,560",1,23
1812,R$750,"R$3,857",R$0,R$13,"R$4,620",1,48
1813,R$0,"R$3,800",R$459,R$58,"R$4,317",0,380
1814,R$928,"R$4,000",R$256,R$51,"R$5,235",1,58
1815,R$0,"R$2,450",R$200,R$37,"R$2,687",1,200
1816,"R$2,065","R$3,300",R$211,R$42,"R$5,618",1,70
1817,R$0,"R$2,500",R$0,R$38,"R$2,538",1,126
1818,"R$1,800","R$7,800",R$334,R$99,"R$10,030",1,218
1819,R$900,"R$3,200",R$192,R$15,"R$4,307",0,190
1820,R$930,"R$1,540",R$68,R$20,"R$2,558",0,64
1821,"R$6,000","R$12,000","R$2,000",R$153,"R$20,150",1,420
1822,R$345,"R$1,800",R$0,R$23,"R$2,168",1,42
1823,"R$1,500","R$6,000",R$405,R$91,"R$7,996",0,284
1824,R$980,"R$2,200",R$195,R$28,"R$3,403",1,108
1825,R$0,"R$2,900",R$0,R$44,"R$2,944",1,95
1826,"R$2,500","R$6,000","R$1,000",R$77,"R$9,577",1,217
1827,"R$2,800","R$9,000",R$888,R$115,"R$12,800",1,190
1828,R$0,"R$1,060",R$167,R$16,"R$1,243",0,150
1829,R$260,"R$2,100",R$0,R$27,"R$2,387",1,75
1830,R$0,R$780,R$17,R$12,R$809,1,40
1831,"R$1,200","R$3,000",R$137,R$39,"R$4,376",1,110
1832,"R$1,500","R$10,000",R$584,R$127,"R$12,210",1,139
1833,R$350,"R$3,400",R$0,R$44,"R$3,794",1,30
1834,R$397,"R$1,800",R$0,R$23,"R$2,220",1,58
1835,R$125,"R$2,750",R$159,R$42,"R$3,076",1,150
1836,"R$2,100","R$6,000",R$798,R$77,"R$8,975",1,131
1837,R$0,"R$1,720",R$0,R$22,"R$1,742",1,18
1838,R$400,"R$1,500",R$0,R$20,"R$1,920",1,80
1839,R$856,"R$7,200",R$589,R$92,"R$8,737",1,144
1840,R$510,"R$1,617",R$67,R$21,"R$2,215",1,85
1841,R$900,"R$3,410",R$272,R$44,"R$4,626",1,76
1842,R$0,"R$8,500",R$492,R$128,"R$9,120",1,370
1843,R$550,R$900,R$61,R$12,"R$1,523",0,100
1844,R$0,"R$9,000",R$634,R$136,"R$9,770",1,260
1845,R$400,"R$15,000",R$834,R$226,"R$16,460",1,220
1846,"R$1,880","R$5,000",R$778,R$64,"R$7,722",1,273
1847,"R$1,040","R$5,800",R$386,R$74,"R$7,300",1,107
1848,R$300,"R$2,200",R$15,R$28,"R$2,543",1,34
1849,R$0,"R$4,892",R$0,R$74,"R$4,966",1,80
1850,"R$2,700","R$8,800",R$0,R$112,"R$11,610",1,550
1851,R$0,"R$2,700",R$273,R$41,"R$3,014",1,60
